2024 NSW Rapid
 Cross Table at round 7 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7    |  User  
-----------------------------------------------------------------------------------------------------------
  1 Zheng,Tony                     2125     NSW  6.5 | +W86  +B67  +W81  +B2   +W23  =B3   +W5    |    0.0 
  2 Nguyen,Vu Ky Anh               2316     NSW  6.0 | +B69  +W64  +B25  -W1   +B92  +W17  +B14   |    0.0 
  3 Ng,Clive                       2315  FM NSW  5.5 | +W41  +B15  =W26  +B28  +W38  =W1   =B9    |    0.0 
  4 Banerjee,Niki                  2263     FRA  5.5 | =B42  +W54  -B33  +W56  +B75  +W27  +B24   |    0.0 
  5 Chakrabarty,Reyaansh           2257  CM NSW  5.5 | +W85  +B18  +W9   =B23  +W26  +W33  -B1    |    0.0 
  6 Scott,Ridley                   2254     NSW  5.5 | +B43  =W66  +W10  -B38  +W42  +B28  +W15   |    0.0 
  7 Kargosha,Bahman                2234  FM NSW  5.5 | =B31  =W42  +B71  +W43  +B108 =W10  +B25   |    0.0 
  8 Huynh,Arthur                   2173     NSW  5.5 | +W70  +B40  =W28  -B32  +W58  +B38  +W33   |    0.0 
  9 Munkhbat,Anand                 2025     MGL  5.5 | +B87  +W89  -B5   +W46  +B22  +W11  =W3    |    0.0 
 10 Galea,Patrick                  1912     NSW  5.5 | +W90  +W11  -B6   +B49  +W34  =B7   +W23   |    0.0 
 11 Li,Hui                         2196  CM MAC  5.0 | +W45  -B10  +W48  +B41  +W32  -B9   +W51   |    0.0 
 12 Qiang,Vincent                  2155     NSW  5.0 | +B47  +W19  =B29  +W66  -B33  =W16  +B43   |    0.0 
 13 Falchoni,Mario J F             2086     NSW  5.0 | -W49  +B55  +W51  +B44  +W67  -B15  +W45   |    0.0 
 14 Vincent,Alaina                 2046 WFM NSW  5.0 | +W51  +B49  -W23  +B45  +W81  +B19  -W2    |    0.0 
 15 Welch,Ian                      1959     NSW  5.0 | +F148 -W3   +B87  +W50  +B62  +W13  -B6    |    0.0 
 16 Cox,Braiden                    1953     NSW  5.0 | -B89  +W94  =B52  +W53  +B35  =B12  +W54   |    0.0 
 17 Brown,Jordan                   1943     ACT  5.0 | =W76  =B88  +W74  +B47  +W91  -B2   +W58   |    0.0 
 18 Ou,Dominic                     1942     NSW  5.0 | +B52  -W5   -B89  +W77  +B94  +W53  +B46   |    0.0 
 19 Li,Marcus (Shing Hei)          1857     HKG  5.0 | +W79  -B12  +W143 +B88  +W93  -W14  +B59   |    0.0 
 20 Haines,Kym                        0     NSW  5.0 | -B54  -W35  +B138 +W120 +B96  +W55  +B60   |    0.0 
 21 Durkin,Hamish                     0     NSW  5.0 | -W57  +B125 -W83  +B101 +W86  +B44  +W39   |    0.0 
 22 Riabov,Anton                      0     RUS  5.0 | +W125 =B78  =W70  +B76  -W9   +B47  +W41   |    0.0 
 23 Morris,Jordan                  2189     NSW  4.5 | +B46  +W30  +B14  =W5   -B1   +W29  -B10   |    0.0 
 24 Coy,Rupert                     2106     NSW  4.5 | =W72  -B32  +W106 +B83  +W85  +B36  -W4    |    0.0 
 25 Yu,Changhao                    2103     NSW  4.5 | +B48  +W68  -W2   =B42  +W72  +B32  -W7    |    0.0 
 26 Rusakov,Jean                   2060  CM NSW  4.5 | +B50  +W71  =B3   +W29  -B5   =W60  =B31   |    0.0 
 27 Rej,Tomek                      2020  FM NSW  4.5 | =W32  +B72  +W34  -W33  +B52  -B4   +W73   |    0.0 
 28 Lee,Daniel                     2011     NSW  4.5 | +B73  +W77  =B8   -W3   +B82  -W6   +B75   |    0.0 
 29 Chisholm,Tom R                 1927     NSW  4.5 | +B53  +W37  =W12  -B26  +W123 -B23  +W74   |    0.0 
 30 Rambukwella,Ashley             1897     NSW  4.5 | +W78  -B23  -W88  =B79  +W125 +B83  +W76   |    0.0 
 31 Gondo,Alex                     1759     NSW  4.5 | =W7   -B38  +W119 =B59  +W116 +B81  =W26   |    0.0 
 32 Jurac,Anthony                  1678     NSW  4.5 | =B27  +W24  +B62  +W8   -B11  -W25  +B64   |    0.0 
 33 Sufyan,Rana                    1654     PAK  4.5 | =B114 +W65  +W4   +B27  +W12  -B5   -B8    |    0.0 
 34 Tee,Marcus Yuan Bo                0     MAS  4.5 | +B121 +W112 -B27  +W113 -B10  =W73  +B67   |    0.0 
 35 Lau,Ethan                      1405     NSW  4.5 | +W131 +B20  -W38  =B39  -W16  +B72  +B68   |    0.0 
 36 Song,Kevin                     1351     QLD  4.5 | =W59  +B122 -B43  +W87  +B65  -W24  +B69   |    0.0 
 37 Bierkens,Pieter                2253     USA  4.0 | +W44  -B29  -W47  -B74  +W136 +B102 +W90   |    0.0 
 38 Brown,Heath                    1993     NSW  4.0 | =B75  +W31  +B35  +W6   -B3   -W8   =B42   |    0.0 
 39 Cabilin,Jeff                   1905  CM NSW  4.0 | -B77  =W56  +B103 =W35  +B95  +W89  -B21   |    0.0 
 40 Kevork,Chris                   1894     ACT  4.0 | +B144 -W8   -B53  +W80  +B56  -F54  +W91   |    0.0 
 41 Rosario,Amiel                  1771     NSW  4.0 | -B3   +W100 +B54  -W11  +B124 +W108 -B22   |    0.0 
 42 Verma,Rudra                    1770     NSW  4.0 | =W4   =B7   +W80  =W25  -B6   +B84  =W38   |    0.0 
 43 Au Duong,Edbert                1768     NSW  4.0 | -W6   +B96  +W36  -B7   +W57  +B88  -W12   |    0.0 
 44 Sze-To,Jonas                   1768     NSW  4.0 | -B37  +W103 +B120 -W13  +B105 -W21  +B94   |    0.0 
 45 Sermonia,Jesus Jr              1759     NSW  4.0 | -B11  +W126 +B129 -W14  +B103 +W61  -B13   |    0.0 
