2024 City of Sydney Blitz
Sydney - 03/03/2024, 03/03/2024

 Cross Table at round 9 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7     8     9    |   User 
-----------------------------------------------------------------------------------------------------------------------
  1 Le,Tri Kien                    2367  CM  OS  8.5 | +W56  +B37  +W30  +B19  +W25  +B2   +W9   +B3   =W4    |    0.0 
  2 Chakrabarty,Reyaansh           2210     NSW  7.5 | +W73  +B20  +W27  +B10  =W3   -W1   +B8   +B25  +W6    |    0.0 
  3 Banerjee,Niki                  2141     NSW  7.0 | +B35  +W34  +B11  =W4   =B2   +W21  +B10  -W1   +B13   |    0.0 
  4 Ng,Clive                       2289  FM NSW  7.0 | +W67  +B23  +W32  =B3   =W12  +B20  +W25  =B6   =B1    |    0.0 
  5 Huynh,Arthur                   2167     NSW  7.0 | +W74  -B27  +W49  -B14  +W36  +B23  +W37  +B12  +W9    |    0.0 
  6 Yu,Allen                       2246     NSW  6.5 | =BYE  +W42  =B17  +W34  +B14  +B12  +W15  =W4   -B2    |    0.0 
  7 Wijaya,Anton                   2237     INA  6.5 | +W59  +B14  =W12  =B15  -W20  +B66  +W17  =B11  +W22   |    0.0 
  8 Salim,Osama                    2369      OS  6.5 | +B46  =W17  -B26  +W38  +B43  +W22  -W2   +B24  +W20   |    0.0 
  9 Scott,Ridley                   2289     VIC  6.0 | -B44  +W51  +B46  +W48  +B18  +W13  -B1   +W16  -B5    |    0.0 
 10 Li,Zuhao (Luke)                2325  FM  OS  6.0 | +B49  +W24  +B18  -W2   =B22  +W41  -W3   +B21  =W11   |    0.0 
 11 Paulite,Christian Carlo        1903     NSW  6.0 | +B50  +W31  -W3   +B32  +W19  -B25  +B26  =W7   =B10   |    0.0 
 12 Chan,Nestor                    2051     NSW  6.0 | +B55  +W29  =B7   +W26  =B4   -W6   +B44  -W5   +B34   |    0.0 
 13 Miscenko,Dmitry                2052     NSW  6.0 | +W68  +B41  -W25  +B36  +W28  -B9   +W27  +B19  -W3    |    0.0 
