vhmac:02.VegaChess vuhung$ python3 ParseVega.py 
Enter the round number: 2
Pairings for round 2:
Zheng,Tony vs Milson,Tyler (B, result: +)
Nguyen,Vu Ky Anh vs Hill,Martin (W, result: +)
Ng,Clive vs Welch,Ian (B, result: +)
Banerjee,Niki vs Shaw,William (W, result: +)
Chakrabarty,Reyaansh vs Ou,Dominic (B, result: +)
Scott,Ridley vs Barakat,Martin (W, result: =)
Kargosha,Bahman vs Verma,Rudra (W, result: =)
Huynh,Arthur vs Kevork,Chris (B, result: +)
Munkhbat,Anand vs Yondon,Munkhbat (W, result: +)
Galea,Patrick vs Li,Hui (W, result: +)
Li,Hui vs Galea,Patrick (B, result: -)
Qiang,Vincent vs Li,Marcus (Shing Hei) (W, result: +)
Falchoni,Mario J F vs Bitolkoski,Hristijan (B, result: +)
Vincent,Alaina vs Yang,Corey (B, result: +)
Welch,Ian vs Lewis,David (B, result: +)
Cox,Braiden vs Morrison,Joshua (W, result: +)
Brown,Jordan vs Morgan,Alistair (B, result: =)
Ou,Dominic vs Chakrabarty,Reyaansh (W, result: -)
Li,Marcus (Shing Hei) vs Qiang,Vincent (B, result: -)
Haines,Kym vs Lau,Ethan (W, result: -)
Durkin,Hamish vs Ye,Roy (B, result: +)
Riabov,Anton vs Su,Joey (B, result: =)
Morris,Jordan vs Rambukwella,Ashley (W, result: +)
Coy,Rupert vs Jurac,Anthony (B, result: -)
Yu,Changhao vs Yaqoob,Yaqoob (W, result: +)
Rusakov,Jean vs Jain,Kamal (W, result: +)
Rej,Tomek vs Vyshnivetskyy,Vlad (B, result: +)
Lee,Daniel vs Bhatt,Netra Raj (W, result: +)
Chisholm,Tom R vs Bierkens,Pieter (W, result: +)
Rambukwella,Ashley vs Morris,Jordan (B, result: -)
Gondo,Alex vs Brown,Heath (B, result: -)
Jurac,Anthony vs Coy,Rupert (W, result: +)
Sufyan,Rana vs Li,Jason (W, result: +)
Tee,Marcus Yuan Bo vs Widdowson,Daniel (W, result: +)
Lau,Ethan vs Haines,Kym (B, result: +)
Song,Kevin vs Chan,Simon (B, result: +)
Bierkens,Pieter vs Chisholm,Tom R (B, result: -)
Brown,Heath vs Gondo,Alex (W, result: +)
Cabilin,Jeff vs Naing,Sithu (W, result: =)
Kevork,Chris vs Huynh,Arthur (W, result: -)
Rosario,Amiel vs Scott,Daniel (W, result: +)
Verma,Rudra vs Kargosha,Bahman (B, result: =)
Au Duong,Edbert vs Bowmaker-Ksiazek,Koe (B, result: +)
Sze-To,Jonas vs Wang,Isaac (Yijun) (W, result: +)
Sermonia,Jesus Jr vs Vaulin-Fox,Jackson (W, result: +)
Lee,Ethan vs Nguyen,Anthony (B, result: +)
Taki,Ahmed vs Parker,Paul (B, result: +)
Watson,Robert A vs Sweeney,Matthew (B, result: +)
Yang,Corey vs Vincent,Alaina (W, result: -)
Jensen,Jack vs Joseph,Alvin (B, result: +)
Thuaux,Alexander vs Khadka,Ronav (W, result: +)
Chen,Tom vs Gough,Benjamin (B, result: +)
Tay,Mason vs Mittal,Saurabh (B, result: +)
Shaw,William vs Banerjee,Niki (B, result: -)
Bitolkoski,Hristijan vs Falchoni,Mario J F (W, result: -)
Naing,Sithu vs Cabilin,Jeff (B, result: =)
Nguyen,Anthony vs Lee,Ethan (W, result: -)
Khishigbaatar,Tuvshintugs vs Gatzen-O'Keefe,Thomas      (W) (B, result: -)
Enan,Eisha vs Nabulsi,Derek (W, result: =)
Fuller,Nicholas vs Shettigar,Harsha (B, result: +)
He,David vs Heath,Charlie              (W) (B, result: -)
Rummery,Ben vs Han,Cameron (B, result: +)
Nguyen,Ngoc Hai vs Wong,Benjamin (W, result: +)
Hill,Martin vs Nguyen,Vu Ky Anh (B, result: -)
Li,Jason vs Sufyan,Rana (B, result: -)
Barakat,Martin vs Scott,Ridley (B, result: =)
Milson,Tyler vs Bhatt,Netra Raj (B, result: +)
Yaqoob,Yaqoob vs Yu,Changhao (B, result: -)
Lawes,Alexander vs Di,Elvin (B, result: +)
Wan,Dennis                 (W) vs Nguyen,Teppi (W, result: +)
Jain,Kamal vs Rusakov,Jean (B, result: -)
Vyshnivetskyy,Vlad vs Rej,Tomek (W, result: -)
Parker,Trent vs Khishigbaatar,Tuvshintugs (B, result: -)
Sivaraj,Avinav vs Chan,Daniel (W, result: +)
Wong,Benjamin vs Nguyen,Ngoc Hai (B, result: -)
Hemsley,Steven E vs Gatzen-O'Keefe,Thomas      (W) (W, result: -)
Bhatt,Netra Raj vs Lee,Daniel (B, result: -)
Su,Joey vs Riabov,Anton (W, result: =)
Han,Cameron vs Rummery,Ben (W, result: -)
Gorantla,Karunya vs Tam,Li Zhang (W, result: +)
Tee,Maximus Yuan Shuo vs Adeleye,Tosin (W, result: +)
Adeleye,Tosin vs Tee,Maximus Yuan Shuo (B, result: -)
Di,Elvin vs Lawes,Alexander (W, result: -)
Barnstone,Alexander vs Yendluri,Rithvik Chowdary (B, result: -)
Arlandez Mana,Francesc vs Ullah,Sami (W, result: +)
Kianrad,Ahmad vs Khishigbaatar,Choijilsuren (W, result: =)
Lewis,David vs Daniel,Suria (B, result: +)
Morgan,Alistair vs Brown,Jordan (W, result: =)
Yondon,Munkhbat vs Munkhbat,Anand (B, result: -)
Shosho,David vs Mittal,Ekansh (W, result: +)
Dorrian,Benjamin vs Daniel,Ariye (W, result: +)
Tyler,Jason                (W) vs Zhu,Maxwell (B, result: -)
Banicevic,Roy vs Acton,Tres                 (W) (W, result: +)
Morrison,Joshua vs Cox,Braiden (B, result: -)
Cyriac,Jose vs Rej,Alexander (W, result: -)
Bowmaker-Ksiazek,Koe vs Au Duong,Edbert (W, result: -)
Yendluri,Rithvik Chowdary vs Barnstone,Alexander (W, result: +)
Gu,Ryan vs Ben Mathews,Jude           (W) (B, result: -)
Robinson,Andrew vs Cairns,Orson               (W) (W, result: +)
